Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,1,67,0,0,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,0
0,1,32,0,0,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,0
1,0,36,1,0,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,0
1,1,44,1,1,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,1
0,1,70,0,0,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,0
0,1,55,0,0,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,0
1,1,66,1,0,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,1
0,1,19,1,1,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,1
0,1,53,0,1,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,0
1,1,22,1,1,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,0
0,1,69,0,0,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,0
0,1,42,1,1,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,1
0,1,41,1,1,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,1
0,1,53,0,1,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,0
1,1,35,1,1,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,0
0,1,54,0,1,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,0
1,1,44,1,1,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,1
0,0,26,1,1,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,0
0,1,44,0,0,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,0
0,0,24,1,0,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,0
0,1,54,0,0,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,0
1,1,42,1,1,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,0
1,0,36,1,0,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,0
0,1,61,1,1,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,1
0,1,50,0,0,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,0
1,1,27,1,1,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,1
1,1,55,1,1,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,0
1,0,21,1,0,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,0
0,1,31,0,1,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,0
0,0,37,1,0,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,0
0,1,50,1,1,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,1
0,1,21,0,0,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,0
0,1,53,1,0,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,0
1,1,45,1,1,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,1
0,0,42,1,0,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,0
1,1,59,1,1,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,1
0,1,54,1,0,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,0
0,1,46,1,1,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,1
0,1,52,0,1,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,0
0,1,38,0,0,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,0
1,1,35,1,1,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,1
0,1,41,0,0,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,0
0,0,40,1,1,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,0
0,0,36,1,0,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,0
1,1,67,0,0,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,0
0,1,38,0,0,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,1
0,1,50,0,0,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,0
1,1,50,1,1,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,1
1,1,54,1,1,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,1
1,1,56,1,1,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,1
1,1,38,0,0,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,0
0,1,7,0,0,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,0
0,1,32,1,1,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,1
1,1,45,1,0,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,0
1,0,25,1,0,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,0
0,1,45,1,1,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,1
1,1,34,0,0,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,0
1,1,20,0,1,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,0
0,0,36,1,0,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,0
1,0,36,1,0,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,0
1,1,27,1,1,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,1
1,1,40,0,0,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,0
1,1,31,1,1,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,1
1,1,25,1,1,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,1
1,1,42,1,1,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,1
0,1,45,1,0,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,1
1,1,59,0,1,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,0
1,1,34,0,0,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,0
0,1,22,0,0,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,0
1,1,21,0,0,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,0
1,1,26,1,1,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,0
1,1,37,1,1,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,1
1,1,38,1,1,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,1
0,1,17,0,0,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,0
1,1,15,0,1,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,0
0,1,53,0,0,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,0
1,0,39,1,1,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,0
1,1,40,1,1,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,1
0,0,28,1,1,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,0
0,0,27,1,1,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,0
0,1,41,1,1,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,1
0,1,7,0,0,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,0
1,0,48,1,1,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,0
1,1,13,1,0,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,0
0,1,48,1,1,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,1
0,1,49,0,0,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,0
1,0,26,1,1,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,1
1,1,22,1,1,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,1
0,1,53,1,1,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,0
0,1,43,1,0,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,1
1,1,56,1,1,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,1
0,1,69,0,0,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,0
1,1,59,0,0,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,1
0,1,56,1,1,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,1
1,1,11,0,0,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,1
0,1,25,1,0,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,1
0,0,29,1,0,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,1
0,1,48,1,0,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,1
0,1,42,1,1,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,1
1,0,15,1,0,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,0
0,0,49,1,1,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,0
1,1,41,1,1,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,1
1,1,43,1,1,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,1
1,1,60,1,1,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,1
0,1,42,0,0,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,1
0,1,8,0,0,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,0
0,1,42,1,0,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,1
1,0,18,1,1,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,0
1,1,47,1,1,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,1
0,0,27,1,0,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,0
0,1,67,0,1,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,0
1,0,38,1,1,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,1
0,0,20,1,0,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,0
0,1,60,1,1,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,1
1,0,23,1,1,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,1
1,0,25,1,1,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,0
0,1,38,1,1,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,1
0,1,40,1,1,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,1
1,1,19,0,0,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,0
0,1,61,1,1,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,1
1,1,44,0,0,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,0
0,1,22,0,0,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,0
0,0,8,1,0,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,0
0,1,45,1,1,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,0
1,1,46,0,0,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,1
0,1,54,1,1,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,0
1,1,62,0,0,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,0
0,1,25,1,1,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,1
0,1,32,0,0,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,0
0,1,65,0,0,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,0
1,0,40,1,1,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0,0
0,1,30,1,1,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,1
0,1,67,0,0,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,0
1,1,51,1,1,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0,1
0,1,47,1,1,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3,1
0,1,38,1,0,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,0
1,1,54,1,1,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0,1
0,1,57,0,0,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4,0
1,1,13,0,0,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0,0
0,0,20,1,0,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,1
0,1,45,1,1,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94,0
0,1,51,1,1,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,1
1,0,25,1,1,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0,1
0,1,39,0,0,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163,0
0,1,46,1,1,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16,1
1,1,53,1,0,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0,0
0,1,61,0,0,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0,1
0,1,61,1,1,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102,1
1,1,16,0,0,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42,0
0,1,44,1,1,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1,0
0,1,17,1,1,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0,1
0,1,50,1,0,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49,0
0,0,40,1,1,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4,1
1,1,47,1,1,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0,1
0,1,80,1,1,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,1
0,1,38,0,0,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0,1
1,1,31,0,0,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0,1
1,1,59,1,1,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15,0
0,1,22,1,1,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0,0
0,1,53,1,1,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3,1
0,1,56,1,1,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,1
0,1,48,0,0,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0,0
1,0,38,1,1,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25,0
1,1,64,0,0,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9,0
1,1,67,0,0,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0,0
0,1,62,1,1,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0,1
1,1,57,1,1,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15,1
0,0,27,1,0,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32,0
0,0,25,1,0,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11,0
0,1,52,1,0,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72,0
0,1,45,1,1,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0,1
0,0,23,1,0,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,13,0
1,1,55,1,0,1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,0,1
1,1,53,1,1,1464,3,2,2,2,5,4,4,3,3,3,3,3,3,3,0,0,0
0,1,9,0,0,715,4,4,4,3,1,4,1,1,5,4,4,4,4,1,11,4,1
1,1,33,1,1,541,2,2,3,2,4,4,4,4,5,2,5,3,4,4,86,85,1
1,0,64,1,1,293,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,0,0
0,0,8,1,0,2092,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,23,0
1,1,34,0,0,1053,4,4,4,1,3,4,3,3,3,2,5,3,5,3,34,15,0
1,1,59,0,0,2521,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2,0
0,1,13,1,1,2544,3,1,3,3,3,3,3,3,4,3,4,3,3,3,0,0,0
1,1,44,0,0,158,4,4,4,2,2,4,2,2,2,5,1,4,5,2,0,0,0
1,1,54,1,1,1741,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0,1
1,1,36,1,1,2651,4,4,4,4,3,4,4,5,5,5,5,5,5,3,10,0,1
0,1,11,0,0,760,3,5,3,1,5,3,5,5,3,5,5,4,4,5,102,88,0
0,1,32,0,0,1036,1,5,1,2,5,1,5,5,5,5,5,5,4,5,12,9,0
1,1,42,1,0,2586,1,3,3,3,1,1,1,3,5,2,3,1,4,1,0,0,0
0,0,27,1,0,1081,1,1,1,4,2,1,2,2,1,5,3,3,1,2,4,0,0
1,1,33,0,0,646,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,0,0
0,1,28,1,1,308,1,3,3,3,1,1,1,1,3,3,3,3,3,1,0,0,0
1,1,44,0,0,227,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,0,1
1,0,49,1,0,1754,3,3,3,3,4,3,5,4,1,4,3,4,4,4,33,28,0
1,1,59,1,1,2176,2,3,2,2,3,5,2,5,5,5,5,4,5,4,5,0,1
1,0,20,1,1,271,0,0,0,1,1,0,1,1,5,4,4,4,4,1,0,0,1
0,1,46,1,1,1522,3,2,3,3,3,5,4,4,4,4,4,3,4,5,0,0,1
1,1,36,1,0,325,5,5,5,5,5,5,5,5,1,5,3,1,3,5,0,0,1
0,1,62,1,1,3217,2,2,2,2,5,4,4,4,4,4,4,4,4,5,19,16,1
1,1,59,1,1,1491,3,3,3,3,2,4,4,3,3,2,3,4,3,3,15,14,1
0,1,29,0,0,331,3,4,3,4,3,3,3,3,5,4,2,2,4,3,0,0,0
0,0,41,1,1,371,2,2,2,1,1,2,1,1,4,4,2,1,1,1,35,30,0
1,1,7,0,0,727,1,5,1,3,4,1,4,4,4,1,1,5,4,4,0,0,0
0,1,65,0,1,1249,3,5,3,2,4,4,4,3,3,3,3,4,3,5,40,44,0
1,1,50,1,1,2614,2,2,2,2,5,4,4,2,4,4,2,4,2,4,0,9,1
0,1,20,1,0,951,2,3,3,3,2,2,4,2,3,5,3,1,4,2,57,41,0
0,1,58,1,1,2498,3,3,3,3,4,4,4,5,5,5,5,4,5,3,0,0,1
0,1,45,0,1,545,2,5,2,2,4,1,1,2,2,2,4,4,2,3,14,20,0
1,1,46,0,1,1838,1,5,1,3,5,1,5,5,3,2,5,4,5,5,0,0,0
0,1,43,1,1,3724,3,3,3,3,4,4,5,5,5,5,5,4,5,3,19,7,1
1,0,26,1,1,280,2,2,2,2,2,2,2,2,2,3,2,2,3,2,0,6,0
1,1,41,1,1,641,5,1,1,1,5,5,5,5,3,4,3,5,5,5,0,0,1
0,1,50,0,0,488,3,5,3,1,3,4,5,5,5,3,5,5,5,3,0,0,0
1,1,38,0,1,1237,3,4,3,1,4,3,4,5,5,3,5,5,5,5,6,0,0
0,0,38,1,0,1062,1,1,1,2,3,1,3,3,4,1,4,5,3,3,0,0,0
0,1,55,1,1,2699,2,2,2,2,2,5,4,3,3,3,3,4,3,4,0,3,1
0,1,49,1,1,679,1,1,1,1,2,5,4,4,4,4,4,2,4,1,51,71,1
1,0,33,1,1,423,4,4,4,3,4,4,4,4,3,2,4,5,5,4,0,5,0
0,1,57,1,1,4817,4,4,4,4,5,5,5,3,3,4,4,5,4,5,0,19,1
0,1,35,1,1,3833,3,3,3,3,3,2,3,5,5,5,5,4,5,4,0,3,1
0,1,40,1,1,2559,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,0,1
0,0,37,1,1,373,4,4,4,4,3,4,3,3,4,4,1,1,1,3,0,0,0
0,1,52,0,0,2279,2,5,2,3,2,4,2,5,3,4,5,2,4,2,17,79,0
1,1,41,1,0,862,2,2,2,2,2,2,2,2,3,5,2,3,3,2,0,0,1
0,1,14,0,0,666,3,3,3,2,3,1,1,4,2,1,5,1,4,1,243,251,0
0,1,32,1,1,759,2,2,2,2,5,4,5,5,3,5,4,4,4,5,0,0,1
1,1,11,0,0,2338,2,4,2,3,2,1,1,3,2,4,5,1,4,1,152,151,0
1,1,12,0,0,946,1,3,1,5,2,1,2,2,1,3,2,2,3,2,0,0,0
1,1,41,1,0,772,4,3,3,3,4,4,4,4,2,1,4,4,3,4,0,0,1
0,0,45,1,1,1011,3,2,2,5,4,3,4,4,4,3,4,4,5,4,0,0,0
1,0,21,1,0,257,2,0,2,4,5,2,1,5,1,5,1,4,5,5,0,1,0
0,1,31,1,0,164,2,3,3,3,2,2,2,2,3,3,3,1,3,2,0,0,0
1,1,38,1,0,166,4,3,2,3,4,4,4,4,5,5,4,4,5,4,17,17,1
1,1,40,1,1,2280,4,4,4,4,3,5,5,5,5,5,5,4,5,5,19,38,1
1,1,13,0,0,590,5,4,5,2,5,5,5,5,4,4,4,4,4,5,0,0,1
0,1,44,1,1,1597,2,2,2,2,3,4,4,2,2,2,2,5,2,4,0,5,1
0,1,66,1,1,2264,3,5,4,5,5,4,4,3,3,3,3,2,3,4,0,0,0
0,1,30,1,1,814,5,5,5,5,5,5,5,5,3,2,1,2,3,5,0,0,1
1,1,44,0,0,1024,3,1,3,3,4,3,4,4,1,1,4,3,3,4,2,0,0
